Exponential Growth Simulation:
Week | Date (Monday) | Amount
----------------------------------------
 0 | 2026-01-05 Monday | $1,000.00
 1 | 2026-01-12 Monday | $1,250.00
 2 | 2026-01-19 Monday | $1,562.50
 3 | 2026-01-26 Monday | $1,953.12
 4 | 2026-02-02 Monday | $2,441.41
 5 | 2026-02-09 Monday | $3,051.76
 6 | 2026-02-16 Monday | $3,814.70
 7 | 2026-02-23 Monday | $4,768.37
 8 | 2026-03-02 Monday | $5,960.46
 9 | 2026-03-09 Monday | $7,450.58
10 | 2026-03-16 Monday | $9,313.23
11 | 2026-03-23 Monday | $11,641.53
12 | 2026-03-30 Monday | $14,551.92
13 | 2026-04-06 Monday | $18,189.89
14 | 2026-04-13 Monday | $22,737.37
15 | 2026-04-20 Monday | $28,421.71
16 | 2026-04-27 Monday | $35,527.14
17 | 2026-05-04 Monday | $44,408.92
18 | 2026-05-11 Monday | $55,511.15
19 | 2026-05-18 Monday | $69,388.94
20 | 2026-05-25 Monday | $86,736.17
21 | 2026-06-01 Monday | $108,420.22
22 | 2026-06-08 Monday | $135,525.27
23 | 2026-06-15 Monday | $169,406.59
24 | 2026-06-22 Monday | $211,758.24
25 | 2026-06-29 Monday | $264,697.80
26 | 2026-07-06 Monday | $330,872.25
27 | 2026-07-13 Monday | $413,590.31
28 | 2026-07-20 Monday | $516,987.88
29 | 2026-07-27 Monday | $646,234.85
30 | 2026-08-03 Monday | $807,793.57
31 | 2026-08-10 Monday | $1,009,741.96
32 | 2026-08-17 Monday | $1,262,177.45
33 | 2026-08-24 Monday | $1,577,721.81
34 | 2026-08-31 Monday | $1,972,152.26
35 | 2026-09-07 Monday | $2,465,190.33
36 | 2026-09-14 Monday | $3,081,487.91
37 | 2026-09-21 Monday | $3,851,859.89
38 | 2026-09-28 Monday | $4,814,824.86
39 | 2026-10-05 Monday | $6,018,531.08
40 | 2026-10-12 Monday | $7,523,163.85
41 | 2026-10-19 Monday | $9,403,954.81
42 | 2026-10-26 Monday | $11,754,943.51
43 | 2026-11-02 Monday | $14,693,679.39
44 | 2026-11-09 Monday | $18,367,099.23
45 | 2026-11-16 Monday | $22,958,874.04
46 | 2026-11-23 Monday | $28,698,592.55
47 | 2026-11-30 Monday | $35,873,240.69
48 | 2026-12-07 Monday | $44,841,550.86
49 | 2026-12-14 Monday | $56,051,938.57
50 | 2026-12-21 Monday | $70,064,923.22
51 | 2026-12-28 Monday | $87,581,154.02
52 | 2027-01-04 Monday | $109,476,442.53

Initial amount: $1,000.00
Final amount after 52 weeks: $109,476,442.53
